parti_ratt_financier,avg
Les Républicains,81.85009917817418
Ensemble,88.32951894340353
La France Insoumise,98.38137175736723
Parti socialiste,85.47700878466232
Europe Écologie Les Verts,71.3882453882454
Rassemblement national,98.55072463768117
Alliance centriste,80.92592592592592
Parti communiste français,97.63921178177743
Péyi-A,100.0
Régions et peuples solidaires,78.07545667839786
Non déclaré(s),100.0
Debout la France,100.0
"Union des démocrates européens, centristes et indépendants",89.41399286987522
Parti radical de gauche,97.61904761904762
Rézistan's Égalité 974,100.0
Réunion libre,100.0
